
Tarifa: Publico general 2026

Tipo,Código,Abreviatura,Descripción,Importe
Pruebas,agcovid,agcovid,Antígeno SARS-CoV-2 (NASOFARINGEO),495
Pruebas,1968,VONWILLEBRAND,ANTÍGENO VON WILLEBRAND,740
Pruebas,APLOHES,APLOHES,APLOTIPOS DE HEMOGLOBINA S,5245
Pruebas,ARGININA,ARGININA,ARGININA,0
Pruebas,ARGI B,ARGI,ARGININA,0
Pruebas,0305,ARS,ARSENICO,880
Pruebas,09,ASTFEL,AST FELINO,0
Pruebas,AZURE,AZURE,AZUCARES REDUCTORES,248
Pruebas,BAAR 1,BAAR,BAAR 1 MUESTRA,135
Pruebas,BAAR 2,BAAR2,BAAR 2,135
Pruebas,BAAR3,BAAR3,BAAR3,135
Pruebas,54,B2MO,Beta 2 microglobulina en orina,978
Pruebas,624,BETA2MICROGLO,BETA 2 MICROGLOBULINA EN SUERO,780
Pruebas,BD,BD,BILIRRUBINA DIRECTA,95
Pruebas,06,BILDCAN,BILIRRUBINA DIRECTA CANINO,0
Pruebas,BT,BT,BILIRRUBINA TOTAL,95
Pruebas,05,BILTCAN,BILIRRUBINA TOTAL CANINO,0
Pruebas,05,BILTFEL,BILIRRUBINA TOTAL FELINO,0
Pruebas,BIOPQX,BIOPQX,BIOPSIA,2050
Pruebas,2149,biopprostata,BIOPSIA  DE PRÓSTATA,1795
Pruebas,BIO,BIOAPE,BIOPSIA APENDICE,1795
Pruebas,337,BIOPCH,BIOPSIA CHICA,1460
Pruebas,BIOB,BIOB,BIOPSIA DE CÉRVIX,1795
Pruebas,BIOCOLO,BIOCOLO,BIOPSIA DE COLON,2050
Pruebas,Biopsiaendometrio ,Biopsiae,Biopsia de endometrio,1795
Pruebas,0123458025,BIOPENDO,BIOPSIA DE ENDOMETRIO,1795
Pruebas,BIOMAMA,BIOMAMA,BIOPSIA DE GLÁNDULA MAMARIA,2530
Pruebas,7894,BIOPIEL,BIOPSIA DE PIEL (FRAGMENTO DE TEJIDO),1795
Pruebas,BIO,BIO,BIOPSIA DE SIGMOIDES RESIDUAL Y APENDICE,3220
Pruebas,0603,BIOENDO,BIOPSIA ENDOSCOPICA,1120
Pruebas,10102020,BIOPFRAGMA,BIOPSIA FRAGMENTO DE MAMA,1795
Pruebas,2308,BIOPGRAN,BIOPSIA GRANDE,1850
Pruebas,340,BIOPMEDIANA,BIOPSIA MEDIANA,1680
Pruebas,2057-OTH,BIOPESP,BIOPSIA ORGANO ESPECIAL,3025
Pruebas,2100,BIOPSIA,BIOPSIA PIEZA ESPECIAL,2775
Pruebas,2153,BIOPARAFINA,BIOPSIA REVISION DE BLOQUE DE PARAFINA,1600
Pruebas,BIOPUTE,BIOPUTE,BIOPSIA UTERO,2915
Pruebas,BIOVESI,BIOVESI,BIOPSIA VESÍCULA BILIAR,1795
Pruebas,BIOTINIDASA,BIOTINIDASA,BIOTINIDASA,0
Pruebas,171,BUN,BUN,0
Pruebas,ORT24,ANCA7PR3,c-ANCA/PR3 (PROTEINASA 3),0
Pruebas,C0 ,C0,C0,0
Pruebas,C10,C10,C10,0
Pruebas,C10:1 ,C101,C10:1,0
Pruebas,C10:2,C102,C10:2,0
Pruebas,C12 ,C12,C12,0
Pruebas,C14 ,C14,C14,0
Pruebas,C14 HIDROXI,C14HIDROXI,C14 HIDROXI,0
Pruebas,C14:1 ,C141,C14:1,0
Pruebas,C14:2 ,CC14,C14:2,0
Pruebas,C14:2 TETRADECADIENOIL,C142,C14:2 TETRADECADIENOILCARNITINA,0
Pruebas,C16,C16,C16,0
Pruebas,C16 HIDROXI,C16OH,C16 HIDROXI,0
Pruebas,C16:1,C161,C16:1,0
Pruebas,C18,C18,C18,0
Pruebas,C18 HIDROXI,C18HIDROXI,C18 HIDROXI,0
Pruebas,C18:1,C181,C18:1,0
Pruebas,C18:1 HIDROXI,C181HIDROXI,C18:1 HIDROXI,0
Pruebas,C18:2 ,C182,C18:2,0
Pruebas,C2 ,C2,C2,0
Pruebas,C3,C3,C3,0
Pruebas,C3DCC4,C3DCC4OH,C3-DC-C4-OH MALONILCARNITINA/3 -HIDROXI-BUTIRILCARNITINA,0
Pruebas,C4 ,C4,C4,0
Pruebas,C4DC5OH,C4DC5OH,C4 DICARBOXILICO-C5 OH,0
