Examen,Examen,Examen,Estudios del examen,Estudios del examen,
PTIR  419,PTIR,PERFIL TIROIDEO,ITL,"INDICE DE TIROXINA LIBRE (ITL,FTI)",
HELICO,HELICO,PERFIL HELICOBACTER PYLORI,1992,HELICOBACTER PYLORI EN HECES,
HELICO,HELICO,PERFIL HELICOBACTER PYLORI,350,AC. ANTI HELICOBACTER PYLORI IgG,
HELICO,HELICO,PERFIL HELICOBACTER PYLORI,1183,ANTI HELICOBACTER PILORY IgM,
155,PANHEP,PANEL DE HEPATITIS,HBsAg,Antigeno de superficie de Hepatitis B (HBsAg),
155,PANHEP,PANEL DE HEPATITIS,AHA,"ANTICUERPOS ANTI HEPATITIS ""A"" IgM (HAV-M)",
155,PANHEP,PANEL DE HEPATITIS,HCV,ANTI HEPATITIS C TOTAL,
155,PANHEP,PANEL DE HEPATITIS,52,"ANTICUERPOS ANTI HEPATITIS ""A"" IgG (HAV-G)",
155,PANHEP,PANEL DE HEPATITIS,55,Anticuerpo de superficie de HEPATITIS B (HBSAb),
155,PANHEP,PANEL DE HEPATITIS,56,Anticuerpo de envoltura de Hepatitis B (HBeAb),
155,PANHEP,PANEL DE HEPATITIS,58,Anticuerpo de nucleo de la hepatitis B (HBcAB),
155,PANHEP,PANEL DE HEPATITIS,HBeag,Antigeno de envoltura de Hepatitis B (HBeAg),
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,105-ORT,ALFAFETOPROTEINA,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,611-ORT,ANTIGENO CARCINOEMBRIONARIO,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,631,ANTIGENO CA-125,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,632,ANTIGENO CA-15-3,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,ANTIGENO CA-19-9,ANTIGENO CA-19-9,
GFH,ANA2,ANTICUERPOS ANTI NUCLEARES (ANA),498,ANTICUERPOS ANTI NUCLEARES (IgG),
GFH,ANA2,ANTICUERPOS ANTI NUCLEARES (ANA),895,PATRÓN DE INMUNOFLUORESCENCIA,
23131313131,WESTERNBLOT,WESTERN BLOT,564651,Anticuerpos anti GP 160 (ENV),
23131313131,WESTERNBLOT,WESTERN BLOT,654564,Anticuerpos anti GP 120 (ENV),
23131313131,WESTERNBLOT,WESTERN BLOT,6542324,Anticuerpos anti P 66,
23131313131,WESTERNBLOT,WESTERN BLOT,56456,Anticuerpos anti P 55 (GAG),
23131313131,WESTERNBLOT,WESTERN BLOT,65456412,Anticuerpos anti P 51,
23131313131,WESTERNBLOT,WESTERN BLOT,56422,Anticuerpos anti PGP 41 (ENV),
23131313131,WESTERNBLOT,WESTERN BLOT,897897,Anticuerpos anti P 39,
23131313131,WESTERNBLOT,WESTERN BLOT,3465464,Anticuerpos anti P 31,
23131313131,WESTERNBLOT,WESTERN BLOT,P24,Antigeno P 24,
23131313131,WESTERNBLOT,WESTERN BLOT,2313212,Anticuerpos anti P 17,
23131313131,WESTERNBLOT,WESTERN BLOT,4564654,Anticuerpos anti HIV 2,
CHEMET,CHEMET,CHEQUEO METABOLICO,171,BUN,
CHEMET,CHEMET,CHEQUEO METABOLICO,PDLIPIDOS,INDICE ATEROGENICO,
CHEMET,CHEMET,CHEQUEO METABOLICO,162,LIPIDOS TOTALES,
CHEMET,CHEMET,CHEQUEO METABOLICO,AURIC,ACIDO URICO,
CHEMET,CHEMET,CHEQUEO METABOLICO,34,COLESTEROL,
CHEMET,CHEMET,CHEQUEO METABOLICO,GLU,GLUCOSA,
CHEMET,CHEMET,CHEQUEO METABOLICO,URE,UREA,
CHEMET,CHEMET,CHEQUEO METABOLICO,TRI,TRIGLICERIDOS,
CHEMET,CHEMET,CHEQUEO METABOLICO,COLVLDL,COLESTEROL VLDL,
