Id_examen,Codigo,Abreviatura,Descripcion,Titulo,Tiempo_proceso,Metodo,Permite_venta_directa,Costo,Comision,Sexo,Indicaciones,Notas,Notas_internas,Titulo_alineacion,Titulo_color,
353,ANTIRO,ANTIRO,ANTICUERPOS ANTI TIROIDEOS,ANTICUERPOS ANTI TIROIDEOS, 2 días,Quimioluminiscencia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
354,ANTITB,ANTI TUBERCULOSIS,ANTICUERPOS ANTI TUBERCULOSIS,ANTICUERPOS ANTI TUBERCULOSIS,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
356,CWE,HEPATITISA,HEPATITIS A TOTALES,HEPATITIS A  TOTALES,,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,#de0c0c,
357,3021,ANT HEP A,"HEPATITIS ""A"" ANTICUERPOS IgG- IgM","HEPATITIS ""A"" ANTICUERPOS IgG- IgM",,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
358,1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,PERFIL HORMONAL FEMENINO, 4 días,Quimioluminiscencia,Si,0.00,0.00,Ambos,Suero 3 mL.,,"-Cortisol matutino
-Hormona del crecimiento
-Perfil Ginecologico I
-Perfil tiroideo II",Alineado a la izquierda,#151313,
359,361346,HEPATITIS B,HEPATITIS B,HEPATITIS B,,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
360,14685464,Espermatobioscopía,Espermatobioscopía,Espermatobioscopía, 2 días,Microscopía Óptica,Si,0.00,0.00,Masculino,"La muestra debe ser colectada después de un mínimo de 72 horas de abstinencias sexual y máximo de 5 días.\nLa colecta debe ser por masturbación, en un recipiente estéril (toma muestras de orina).\nNo se debe usar preservativos ni lubricantes.\nNo coitus interruptus.\nSi se pierde parte de la muestra, debe ser notificado al laboratorio.\nLlegar al laboratorio a menos de una hora de su emisión.\nEvitar temperaturas extremas durante el transporte de la muestra.\nEn el recipiente debe constar la siguiente información: Hora de toma de muestra\nDías de abstinencia",,,Alineado a la izquierda,,
361,PCR22,PCR22,PCR VARIANTE,PCR VARIANTE, 2 días,PCR Tiempo Real,Si,0.00,0.00,Ambos,SE ENVÍA A ORTHIN Y SE ENTREGA RESULTADO A LAS 48 HORAS DE LA TOMA DE MUESTRA.,,,Alineado a la izquierda,,
362,0305,METP,METALES PESADOS,METALES PESADOS, 6 días,Espectrofotometría ,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
363,4425,PCRITS,PCR INFECCIOSO DE TRANSMISION SEXUAL (STI7),PCR INFECCIOSO DE TRANSMISION SEXUAL (STI7), 6 días,PCR Tiempo Real,Si,0.00,0.00,Ambos,"Exudado cervical*, uretral*, anal en medio de transporte para PCR (los medios para PCR pueden ser: ThinPrep®, SurePath®, digene® HC2 DNA Specimen Collection Device, UTM) (realizar la toma con citobrush o hisopo de dacrón o nylon); orina*, semen.",,,Alineado a la izquierda,,
364,4424-OTH,VPH HR14 GENOTIPOS,VPH HR14 GENOTIPOS DE ALTO RIESGO,VPH HR14 GENOTIPOS DE ALTO RIESGO, 10 días,PCR Tiempo Real,Si,0.00,0.00,Ambos,"Exudado cervical, uretral, anal en medio de transporte para PCR (los medios para PCR pueden ser: ThinPrep®, SurePath®, digene® HC2 DNA Specimen Collection Device. No enviar en UTM) (realizar la toma con citobrush o hisopo de dacrón o nylon); orina, semen, biopsia en solución salina (estabilidad 24 hrs de 2-8º). En caso de biopsias se agrega un día más en el tiempo de entrega (4DH).",,,Alineado a la izquierda,#211919,
365,11102022,ZIKA,VIRUS ZIKA,VIRUS ZIKA,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
366,11102022,CHINKUN,VIRUS CHINKUNGUYA,VIRUS CHINKUNGUYA, 5 días,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
368,VIHPV4CG,VIHPV4CG,VHI Cuarta generación,VHI Cuarta generación,,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado al centro,,
370,2421,2421,PERFIL ANDROGENOS,PERFIL DE ANDROGENOS, 4 días,Quimioluminiscencia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
371,68,efp,Electroforesis de proteínas,Electroforesis de proteínas, 3 días,Electrofóresis,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
372,11,pcs,Perfil de Catecolaminas en plasma,Perfil de Catecolaminas en plasma, 10 días,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
373,195,QS19,QUIMICA SANGUINEA 19 ELEMENTOS,QUIMICA SANGUINEA 19 ELEMENTOS, 1 día,Espectrofotometría Automatizada,Si,0.00,0.00,Ambos,Suero 2 mL. Ayuno de 12 hrs.,,,Alineado a la izquierda,,
374,198,PERFTORCH,PERFIL DE TORCH IgG,PERFIL DE TORCH IgG, 4 días,Quimioluminiscencia,Si,0.00,0.00,Ambos,Suero 2 mL.\n\n,,,Alineado a la izquierda,,
375,199,PERTORCH,PERFIL DE TORCH IgM,PERFIL DE TORCH IgM, 3 días,Quimioluminiscencia,Si,0.00,0.00,Ambos,Suero 2 mL.,,,Alineado a la izquierda,,
376,3513,HOMA,Resistencia a la insulina por índice HOMA,Resistencia a la insulina por índice HOMA, 1 día,Espectrofotometría Automatizada,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
377,3334,PCR VIRAL RESPIRATORIO,PCR Panel viral respiratorio (16 virus),PCR Panel viral respiratorio (16 virus), 5 días,RT-PCR TIEMPO REAL,Si,0.00,0.00,Ambos,"Exudado nasofaríngeo en medio para PCR (medio de transporte UTM)  (realizar la toma con hisopo de dacrón o nylon), aspirado nasofaríngeo, lavado broncoalveolar. No tomar antivirales 48 hrs previo toma muestra.\nSOLICITAR EL MEDIO A ORTHIN",,,Alineado a la izquierda,,
378,1602,HELY,ANTICUERPOS DE HELICOBACTER PYLORI EN SANGRE,ANTICUERPOS DE HELICOBACTER PYLORI EN SANGRE, 3 días,Quimioluminiscencia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
380,4446,PERFILPROS,PERFIL PROSTATICO II,PERFIL PROSTATICO II, 2 días,Espectrofotometría Automatizada,Si,0.00,0.00,Masculino,,,,Alineado a la izquierda,,
381,3235,PCRVPH,PCR VPH ALTO RIESGO,PCR VPH ALTO RIESGO,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
382,1481,TFGSUE,TASA DE FILTRADO GLOMERULAR EN SUERO,TASA DE FILTRADO GLOMERULAR EN SUERO, 1 día,Espectrofotometría Automatizada,Si,0.00,0.00,Ambos,"PERFIL ORTHIN: Suero 2.0 ml. Indicar edad, peso, estatura y sexo del paciente del paciente.",,,Alineado a la izquierda,,
383,123456,Influenza A y B,Influenza A y B,Influenza A y B, 1 día,Inmunoensayo Cromatográfico,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
385,654465,PERES,PERFIL VIRAL RESPIRATORIO,PERFIL VIRAL RESPIRATORIO,,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
386,1688 PTIR II,PTIR II,PERFIL TIROIDEO  II,PERFIL TIRPIDEO II, 2 días,Quimioluminiscencia,Si,0.00,0.00,Ambos,ORTHIN: Suero 3 mL.,,,Alineado a la izquierda,,
