Nombre del Producto,Identificador (No Cambiar),Es un Servicio,Se Vende,Descripción,Categoría,Marca,Unidad de Venta,Código de Barras,SKU,Variantes de Tamaño,Variantes de Color,Variantes de Material,Variantes de Estilo,Usa Lotes,Lote,Fabricación del Lote,Caducidad del Lote,Utiliza Stock,Stock Total ,Stock Mínimo ,Stock Apartado ,Ubicación ,Precio Público,Precio PERSONAL,Precio DESCUENTO PROMOCION,Costo,Impuestos,IVA,IEPS,Clave SAT,Receta Médica,Catálogo en Línea
MOMETASONA 0.05MCG SUSPENSION,mometasona-005mcg-suspension,No,Si,,MEDICAMENTO,QUIMPHARMA,Unidad,7502223112506,,,,,,Si,,,,Si,0.00,,,,$ 190.00,$ 134.00,,$ 131.98,Si,16%,No aplica,,No,Si
MOMETASONA 0.050g/100mL SUSPENSIÓN,mometasona-0050g100ml-suspension,No,Si,DANKEL MEDICAL,MEDICAMENTO,DANKEL MEDICAL,Unidad,7502256040203,,,,,,Si,A25036,,01/01/2027,Si,0.00,,0.00,,$ 190.00,$ 90.00,,$ 89.69,No,,,,No,Si
MICONAZOL 2G CREMA,miconazol-2g-crema,No,Si,,MEDICAMENTO,BIORESEARCH,Unidad,7501563380293,,,,,,Si,20831,,01/03/2027,Si,1.00,,0.00,,$ 75.00,$ 13.00,,$ 12.89,No,,,,No,Si
MICONAZOL 2% CREMA,miconazol-2-crema,No,Si,PROTEIN,MEDICAMENTO,,Unidad,7501277060023,,,,,,Si,,,,Si,0.00,,,,$ 75.00,$ 12.00,,$ 11.49,No,,,,No,Si
MICONAZOL 2% CREMA,miconazol-2-crema_2,No,Si,ALPHARMA,MEDICAMENTO,ALPHARMA,Unidad,7503004908714,,,,,,Si,,,,Si,0.00,,,,$ 75.00,$ 10.00,,$ 9.29,No,,,,No,Si
METRONIDAZOL/ NISTATINA 500MG/100000 U OVULOS,metronidazol-nistatina-500mg100000-u-ovulos,No,Si,,MEDICAMENTO,SON´S,Unidad,7502001164697,,,,,,Si,25010321,,01/01/2027,Si,0.00,,0.00,,$ 115.00,$ 40.00,,$ 39.67,Si,16%,No aplica,,No,Si
"METRONIDAZOL/ NISTATINA 500MG/100,000 UI OVULOS",metronidazol-nistatina-500mg-100-000-ui-ovulos,No,Si,LOEFFLER,MEDICAMENTO,LOEFFLER,Unidad,7502211784289,,,,,,Si,R2502333,,01/02/2027,Si,2.00,,0.00,,$ 115.00,$ 47.00,,$ 46.59,No,,,,No,Si
METRONIDAZOL-DIYODOHIDROXIQUINOLEINA 400MG/200MG TABLETAS (30),metronidazol-diyodohidroxiquinoleina-400mg200mg-tabletas-30,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075717044,,,,,,Si,310285,,01/11/2027,Si,1.00,,0.00,,$ 120.00,$ 44.00,,$ 43.79,No,,,,No,Si
METRONIDAZOL/ DIYODOHIDROXIQUINOLEINA 400MG/200MG TABLETA,metronidazol-diyodohidroxiquinoleina-400mg-200mg-tableta,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7503000422634,,,,,,Si,,,,Si,0.00,,,,$ 100.00,$ 37.00,,$ 36.59,No,,,,No,Si
METRONIDAZOL/ DIYODOHIDROXIQUINOLEINA 400M G/200MG CAPSULA (30),metronidazol-diyodohidroxiquimoleina-400mg200mg,No,Si,,MEDICAMENTO,COLLIN´S,Unidad,780083139858,,,,,,Si,25142008,,01/06/2027,Si,2.00,,0.00,,$ 120.00,$ 61.00,,$ 60.19,No,,,,No,Si
METRONIDAZOL/ DIYODOHIDROXIQUINOLEINA 2.5G/2G/100ML SUSPENSION,metronidazol-diyodohidroxiquinoleina-2-5g-2g-100ml-suspension,No,Si,RUSSEK,MEDICAMENTO,LOEFFLER,Unidad,7502211780069,,,,,,Si,R2508148,,01/08/2027,Si,3.00,,0.00,,$ 165.00,$ 42.00,,$ 41.89,No,,,,No,Si
METRONIDAZOL/DIYODOHIDROXIQUINOLEINA 2.5/2.0/100 ML SUSPENSION,metronidazol-diyodohidroxiquinoleina-2-5-2-0-100-ml-suspension,No,Si,PHARMAGEN,MEDICAMENTO,,Unidad,7501299379158,,,,,,Si,,,,Si,0.00,,,,$ 165.00,$ 33.00,,$ 32.69,Si,16%,No aplica,,No,Si
METRONIDAZOL-CENTELLA ASIATICA-NITROFURAL 300MG-15MG-6MG OVULO,metronidazol-centella-asiatica-nitrofural,No,Si,LOEFLER,MEDICAMENTO,LOEFFLER,Unidad,7502211788843,,,,,,Si,,,,Si,0.00,,,,$ 455.00,$ 152.00,,$ 151.57,No,,,,No,Si
METRONIDAZOL 500MG TABLETA(30),metronidazol-500mg-tableta-30,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573900542,,,,,,Si,SC2520,,01/03/2027,Si,0.00,,0.00,,$ 98.00,$ 16.00,,$ 15.69,No,,,,No,Si
METRONIDAZOL 500MG TABLETA(20),metronidazol-500mg-tableta-20,No,Si,BIOMEP- (CON 20 TABLETA),MEDICAMENTO,BIOMEP,Unidad,7501573900016,,,,,,Si,SG2536,,01/07/2027,Si,4.00,,0.00,,$ 95.00,$ 13.00,,$ 12.59,No,,,,No,Si
METRONIDAZOL 500MG TABLETA,metronidazol-tab-500-mg,No,Si,NOVAG,MEDICAMENTO,,Unidad,7501075713176,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 19.00,,$ 18.39,Si,16%,No aplica,,No,Si
METRONIDAZOL 500MG TABLETA,metronidazol-500-tabletas,No,Si,BIORESEARCH,MEDICAMENTO,,Unidad,7501563381153,,,,,,Si,,,,Si,0.00,,,,$ 95.00,,,$ 0.00,No,,,,No,Si
METRONIDAZOL 500mg TABLETA,metronidazol-500mg-tableta,No,Si,PHARMAGEN,MEDICAMENTO,,Unidad,7501299370179,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 19.00,,$ 18.59,No,,,,No,Si
METOPROLOL 100mg TABLETAS,metoprolol-100mg-tabletas,No,Si,NOVAG,MEDICAMENTO,,Unidad,7501075714173,,,,,,Si,,,,Si,0.00,,,,$ 65.00,$ 10.00,,$ 9.89,No,,,,No,Si
METOPROLOL 100MG TABLETA ,metoprolol-100mg-tableta,No,Si,BRULUAGSA,MEDICAMENTO,,Unidad,7501537102319,,,,,,Si,,,,Si,0.00,,,,$ 65.00,$ 13.00,,$ 12.29,No,,,,No,Si
METOPROLOL 100MG TABLETA,metoprolol-100mg-tableta_2,No,Si,KENER,MEDICAMENTO,,Unidad,7501493888944,,,,,,Si,,,,Si,0.00,,,,$ 65.00,$ 8.00,,$ 7.99,No,,,,No,Si
METOPROLOL 100MG TABLETA,metoprolol-100mg-tableta_3,No,Si,,MEDICAMENTO,SCHOEN,Unidad,821998000700,,,,,,Si,020015,,01/01/2027,Si,1.00,,0.00,,$ 65.00,$ 9.00,,$ 8.39,No,,,,No,Si
METOCLOPRAMIDA  400MG SOLUCION,metoclopramida-400mg-solucion,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,75006433,,,,,,Si,120105,,01/06/2028,Si,3.00,,0.00,,$ 50.00,$ 15.00,,$ 14.79,No,,,,No,Si
METOCLOPRAMIDA 10 MG TABLETAS,metoclopramida-10-mg-tabletas,No,Si,RAAM,MEDICAMENTO,,Unidad,7502227871676,,,,,,Si,,,,Si,0.00,,,,$ 55.00,$ 7.00,,$ 6.79,No,,,,No,Si
METOCLOPRAMIDA 10MG TABLETA,metoclopramida-10mg-tableta,No,Si,NOVAG,MEDICAMENTO,,Unidad,7501075710786,,,,,,Si,110305,,01/07/2028,Si,2.00,,0.00,,$ 55.00,$ 8.00,,$ 7.89,No,,,,No,Si
METOCLOPRAMIDA 10 MG TABLETA,metoclopramida-tab-10-mg-dirpasid,No,Si,BRULUAGSA,MEDICAMENTO,BRULUAGSA,Unidad,7502208892638,,,,,,Si,5060874,,12/07/2027,Si,0.00,,0.00,,$ 55.00,$ 8.00,,$ 7.49,No,,,,No,Si
METOCLOPRAMIDA 10/2ML SOLUCION INYECTABLE C/U,metoclopramida-10-2ml-solucion-inyectable-c-u,No,Si,,MEDICAMENTO,AMSA,Unidad,,,,,,,No,,,,Si,5.00,0.00,,,$ 55.00,$ 7.00,,$ 7.00,No,,,,No,Si
METOCARBAMOL/ PARACETAMOL 400MG/ 350MG TABLETA,metocarbamol-paracetamol-400mg-350mg-tableta,No,Si,LIFERPAL,MEDICAMENTO,,Unidad,7501836000118,,,,,,Si,,,,Si,0.00,,,,$ 90.00,$ 34.00,,$ 33.65,No,,,,No,Si
METILPREDNISOLONA 40MG SOLUCION INYECTABLE ,metilprednisolona-40mg-inyectable,No,Si,CRYOPHARMA,MEDICAMENTO,,Unidad,7501476040123,,,,,,Si,,,,Si,0.00,,,,$ 135.00,$ 44.00,,$ 43.52,No,,,,No,Si
METILPREDNISOLONA 40MG SOLUCION INYECTABLE,metilprednisolona-40mg-inyectable_2,No,Si,AMSA,MEDICAMENTO,,Unidad,7501349025233,,,,,,Si,C25M203,,01/03/2027,Si,0.00,,0.00,,$ 135.00,$ 57.00,,$ 56.49,No,,,,No,Si
METFORMINNA-GLIBENCLAMIDA 500 MG/5 MG TABLETA,metforminna-glibenclamida-500-mg5-mg-tableta,No,Si,LAEFFLER,MEDICAMENTO,,Unidad,7501101600067,,,,,,Si,,,,Si,0.00,,,,$ 140.00,$ 32.00,,$ 31.19,No,,,,No,Si
METFORMINA/ GLIBENCLAMIDA 500MG/5MG TABLETA,metformina-glibenclamida-500mg-5mg-tableta,No,Si,MAVI,MEDICAMENTO,MAVI,Unidad,785118754204,,,,,,Si,5G1270,,01/07/2027,Si,0.00,,0.00,,$ 140.00,$ 57.00,,$ 56.09,No,,,,No,Si
METFORMINA/ GLIBENCLAMIDA 500MG/5MG TABLETA,metformina-glibenclamida-500mg-5mg-tableta,No,Si,MAVI,MEDICAMENTO,MAVI,Unidad,785118754204,,,,,,Si,5I1580,,01/09/2027,Si,2.00,,0.00,,$ 140.00,$ 57.00,,$ 56.09,No,,,,No,Si
METFORMINA/ GLIBENCLAMIDA 500MG/5MG TABLETA,metformina-glibenclamida-500mg-5mg-tableta_2,No,Si,SON´S,MEDICAMENTO,,Unidad,7502001165557,,,,,,Si,,,,Si,0.00,,,,$ 140.00,$ 62.00,,$ 62.09,No,,,,No,Si
METFORMINA 850MG TABLETA (30),metformina-850mg-tableta_2,No,Si,SILANES,MEDICAMENTO,LOEFFLER,Unidad,7502211789352,,,,,,Si,,,,Si,0.00,,,,$ 98.00,$ 20.00,,$ 19.08,No,,,,No,Si
METFORMINA 850MG TABLETA,metformina-850mg-tableta,No,Si,AMSA,MEDICAMENTO,AMSA,Unidad,7501349022140,,,,,,Si,U25U008,,01/07/2027,Si,0.00,,0.00,,$ 98.00,$ 16.00,,$ 15.39,No,,,,No,Si
METFORMINA 850MG TABLETA,metformina-850mg-tableta_3,No,Si,,MEDICAMENTO,ALPHARMA,Unidad,7503004908776,,,,,,Si,,,,Si,0.00,,,,$ 98.00,$ 16.00,,$ 15.59,No,,,,No,Si
METFORMINA 500MG TABLETA (60),metformina-500mg-tab-glunovag,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075717013,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 20.00,,$ 19.89,No,,,,No,Si
METFORMINA 500MG TABLETA (40),metformina-500mg-tableta,No,Si,SILANES,MEDICAMENTO,LOEFFLER,Unidad,7502211789345,,,,,,Si,25B189V1,,01/02/2027,Si,1.00,,0.00,,$ 85.00,$ 29.00,,$ 28.59,No,,,,No,Si
METAMIZOL  5G/100ML JARABE,metamizol-sodico-jarabe-5g100ml-piromebrina,No,Si,,MEDICAMENTO,"GEGORT""S/CHEMICAL",Unidad,7501825300687,,,,,,Si,837B,,01/10/2026,Si,0.00,,0.00,,$ 100.00,$ 36.00,,$ 35.41,Si,16%,No aplica,,No,Si
METAMIZOL  5G/100 ML JARABE,mebendazol-sodico-5g100-ml,No,Si,LOEFFLER,MEDICAMENTO,LOEFFLER,Unidad,7502211780687,,,,,,Si,R2504602,,01/05/2027,Si,2.00,,0.00,,$ 100.00,$ 24.00,,$ 23.40,No,,,,No,Si
METAMIZOL 50 MG TABLETA (10),metamizol-sodico-500-mg-tableta-10,No,Si,,MEDICAMENTO,AVIVIA,Unidad,7501342801131,,,,,,Si,,,,Si,0.00,,,,$ 80.00,$ 6.00,,$ 5.42,Si,16%,No aplica,,No,Si
METAMIZOL 500 MG TABLETAS,metamizol-500-mg-tabletas,No,Si,,MEDICAMENTO,NOVAG,Unidad,7501075727517,,,,,,Si,660255,,01/05/2027,Si,0.00,,0.00,,$ 80.00,$ 8.00,,$ 7.39,No,,,,No,Si
METAMIZOL 500MG TABLETA,metamizol-500mg-tableta,No,Si,NOVAG,MEDICAMENTO,,Unidad,7501075714135,,,,,,Si,,,,Si,0.00,,,,$ 80.00,$ 8.00,,$ 7.19,No,,,,No,Si
METAMIZOL 500MG TABLETA,metamizol-500mg-tableta_2,No,Si,NEOLPHARMA,MEDICAMENTO,NEOLPHARMA,Unidad,7502226290850,,,,,,Si,0824025,,01/08/2026,Si,0.00,,0.00,,$ 80.00,$ 8.00,,$ 7.59,No,,,,No,Si
METAMIZOL 500MG COMPRIMIDO (10),metamizol-500mg-comprimido,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573901082,,,,,,Si,SF2536,,01/06/2027,Si,1.00,,0.00,,$ 80.00,$ 8.00,,$ 7.19,No,,,,No,Si
METAMIZOL 500MG COMPRIMIDO (10),metamizol-500mg-comprimido,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573901082,,,,,,Si,S12543,,01/09/2027,Si,2.00,,0.00,,$ 80.00,$ 8.00,,$ 7.19,No,,,,No,Si
METAMIZOL  1G/2ML SOLUCION INYECTABLE C/U,metamizol-sodico-1g-2ml-solucion-inyectable-c-u,No,Si,,MEDICAMENTO,AMSA,Unidad,,,,,,,No,,,,Si,11.00,0.00,,,$ 55.00,$ 7.00,,$ 6.96,No,,,,No,Si
MELOXICAM /METOCARBAMOL 15MG/250MG TABLETAS (10),metocarbamolmeloxicam-250mg15mg-tabletas-10,No,Si,,MEDICAMENTO,ULTRA,Unidad,7502216792197,,,,,,Si,5FM049A,,01/06/2027,Si,4.00,,0.00,,$ 115.00,$ 20.00,,$ 19.59,No,,,,No,Si
MELOXICAM/ METOCARBAMOL 15MG/215MG CAPSULA(20),meloxicam-metocarbamol-15mg-215mg-capsula-20,No,Si,MAVER,MEDICAMENTO,,Unidad,7502009746208,,,,,,Si,,,,Si,0.00,,,,$ 205.00,$ 66.00,,$ 65.49,No,,,,No,Si
MELOXICAM/ METOCARBAMOL 15MG/215MG CAPSULA(10),meloxicam-metocarbamol-15mg-215mg-capsula-10,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009742095,,,,,,Si,253792,,01/07/2027,Si,0.00,,0.00,,$ 115.00,$ 42.00,,$ 41.89,No,,,,No,Si
MELOXICAM/METOCARBAMOL 15MG/215MG CAPSULA,meloxicammetocarbamol-15mg215mg-capsula,No,Si,,MEDICAMENTO,RAAM,Unidad,7502227876848,,,,,,Si,,,,Si,0.00,,,,$ 115.00,$ 31.00,,$ 30.29,Si,16%,No aplica,,No,Si
MELATONINA 3MG TABLETA,melatonina-3mg-tableta,No,Si,COLLIN'S,MEDICAMENTO,,Unidad,714908100228,,,,,,Si,,,,Si,0.00,,,,$ 145.00,$ 54.00,,$ 53.40,No,,,,No,Si
MECLIZINA/ PIRIDOXINA 8.33MG/16MG SOLUCION GOTAS,meclizina-piridoxina-8-33mg-16mg-solucion-gotas,No,Si,OFFENBACH,MEDICAMENTO,,Unidad,7502004403458,,,,,,Si,,,,Si,0.00,,,,$ 80.00,$ 32.00,,$ 32.09,No,,,,No,Si
MECLIZINA/ PIRIDOXINA 8.33MG/16.66MG SOLUCION GOTAS,meclizina-piridoxina-8-33mg-16-66mg-solucion,No,Si,SON'S- (GOTAS ORALES),MEDICAMENTO,SON´S,Unidad,7502001162518,,,,,,Si,25051218,,01/05/2027,Si,1.00,,0.00,,$ 80.00,$ 22.00,,$ 21.79,No,,,,No,Si
MECLIZINA/ PIRIDOXINA 8.33MG/16.66MG SOLUCION GOTAS,meclizina-piridoxina-8-33mg-16-66mg-solucion,No,Si,SON'S- (GOTAS ORALES),MEDICAMENTO,SON´S,Unidad,7502001162518,,,,,,Si,25061619,,01/06/2027,Si,1.00,,0.00,,$ 80.00,$ 22.00,,$ 21.79,No,,,,No,Si
MECLIZINA/ PIRIDOXINA 8.33MG/16.66MG/1ML SOLUCION GOTAS,meclizina-piridoxina-8-33mg-16-66mg-1ml-solucion-gotas,No,Si,COLLINS,MEDICAMENTO,,Unidad,780083139568,,,,,,Si,,,,Si,0.00,,,,$ 80.00,$ 23.00,,$ 22.99,No,,,,No,Si
MEBENDAZOL 2G/100ML SUSPENSION,mebendazol-2g-100ml-suspension,No,Si,DEGORT'S CHEMICAL,MEDICAMENTO,,Unidad,7501825300878,,,,,,Si,,,,Si,0.00,,,,$ 85.00,$ 15.00,,$ 14.51,No,,,,No,Si
MEBENDAZOL 100MG TABLETA ,mebendazol-100mg-tableta,No,Si,SON'S,MEDICAMENTO,SON´S,Unidad,7502001165748,,,,,,Si,24124258,,01/12/2026,Si,1.00,,0.00,,$ 75.00,$ 15.00,,$ 14.79,No,,,,No,Si
MAGALDRATO/ DIMETICONA 8g/ 1g /800ml GEL,magaltrato-dimeticona-8g1g100ml-gel,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009745027,,,,,,Si,255160,,01/09/2027,Si,2.00,,0.00,,$ 150.00,$ 55.00,,$ 54.09,No,,,,No,Si
MAGALDRATO/ DIMETICONA 8G/1G/100ML GEL,magaldrato-dimeticona-80mg-10mg-1ml-gel,No,Si,,MEDICAMENTO,DEGORT´S CHEMICAL,Unidad,7501825305187,,,,,,Si,565C,,01/05/2027,Si,0.00,,0.00,,$ 150.00,$ 53.00,,$ 52.99,No,,,,No,Si
MAGALDRATO-DIMETICONA 8G/1G/100ML GEL,magaldratodimeticona-8g1g100ml,No,Si,MAVER,MEDICAMENTO,,Unidad,7502009747908,,,,,,Si,,,,Si,0.00,,,,$ 150.00,$ 32.00,,$ 31.37,No,,,,No,Si
MAGALDRATO/ DIMETICONA 80MG/10MG/1ML GEL,magaldrato-dimeticona-80mg-10mg-1ml-gel_2,No,Si,AVIVIA,MEDICAMENTO,,Unidad,7502216809161,,,,,,Si,,,,Si,0.00,,,,$ 150.00,$ 43.00,,$ 42.79,No,,,,No,Si
LOSARTAN/ HIDROCLOROTIAZIDA 50MG/12.5MG TABLETA,losartan-hidroclorotiazida-50mg-12-5mg-tableta,No,Si,ULTRA,MEDICAMENTO,ULTRA,Unidad,7502216795204,,,,,,Si,5KM278A,,01/10/2027,Si,3.00,,0.00,,$ 165.00,$ 25.00,,$ 24.09,No,,,,No,Si
LOSARTAN/ HIDROCLOROTIAZIDA 50MG/12.5MG COMPRIMIDO,losartan-hidroclorotiazida-50mg-12-5mg-comprimido,No,Si,MAVER,MEDICAMENTO,,Unidad,7502009742767,,,,,,Si,,,,Si,0.00,,,,$ 165.00,$ 34.00,,$ 33.62,No,,,,No,Si
LOSARTAN/HIDROCLOROTIAZIDA 50.0 MG/12.5 COMPRIMIDOS,losartanhidroclorotiazida-500-mg125-comprimidos,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009742774,,,,,,Si,252594,,01/06/2027,Si,0.00,,0.00,,$ 165.00,$ 91.00,,$ 90.19,No,,,,No,Si
LOSARTAN 50MG TABLETA (30),losartan-50mg-tableta-30,No,Si,,MEDICAMENTO,ULTRA,Unidad,7502216803657,,,,,,Si,5EM023A,,01/05/2027,Si,2.00,,0.00,,$ 70.00,$ 11.00,,$ 10.40,No,,,,No,Si
LOSARTAN 50MG TABLETA,losartan-50mg-tableta,No,Si,WERMA PHARMACEUTICALS,MEDICAMENTO,WERMAR,Unidad,7502240450070,,,,,,Si,,,,Si,0.00,,,,$ 70.00,$ 12.00,,$ 11.29,No,,,,No,Si
LOSARTAN 50MG COMPRIMIDO,losartan-50mg-comprimido,No,Si,,MEDICAMENTO,AMSA,Unidad,7501349028159,,,,,,Si,U25M321,,01/03/2027,Si,0.00,,0.00,,$ 70.00,$ 13.00,,$ 12.29,No,,,,No,Si
LOSARTAN 50MG COMPRIMIDO,losartan-50mg-comprimido,No,Si,,MEDICAMENTO,AMSA,Unidad,7501349028159,,,,,,Si,U25E496,,01/01/2027,Si,0.00,,0.00,,$ 70.00,$ 13.00,,$ 12.29,No,,,,No,Si
LOSARTAN 100MG TABLETA (15),losartan-100mg-tableta-15,No,Si,,MEDICAMENTO,MAVER,Unidad,7502009744358,,,,,,Si,252722,,01/05/2027,Si,0.00,,0.00,,$ 80.00,$ 24.00,,$ 24.00,No,,,,No,Si
LOSARTAN 100MG TABLETA,losartan-100mg-tableta,No,Si,,MEDICAMENTO,ULTRA,Unidad,7502216804333,,,,,,Si,5HM308A,,01/08/2027,Si,1.00,,0.00,,$ 80.00,$ 16.00,,$ 15.29,No,,,,No,Si
LOSARTAN 100MG TABLETA,losartan-100-mg-tab-alderan,No,Si,MAVER,MEDICAMENTO,,Unidad,7502009744013,,,,,,Si,,,,Si,0.00,,,,$ 80.00,$ 24.00,,$ 23.18,No,,,,No,Si
LORATADINA/ BETAMETASONA 5MG/0.25MG TABLETA,loratadina-betametasona-5mg-0-25mg-tableta,No,Si,SERRAL,MEDICAMENTO,SERRAL,Unidad,7501258204002,,,,,,Si,251179,,01/07/2027,Si,3.00,,0.00,,$ 95.00,$ 20.00,,$ 19.19,No,,,,No,Si
LORATADINA/BETAMETASONA 5.00MG /0.25 MG TABLETA,loratadina-betametazona-5-00mg-0-25-mg-tableta,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009746239,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 9.00,,$ 8.29,No,,,,No,Si
LORATADINA/ BETAMETASONA 100MG/5MG/100ML SOLUCION,loratadina-betametasona-100mg-5mg-100ml-solucion_2,No,Si,COLLIN´S,MEDICAMENTO,COLLIN´S,Unidad,780083148546,,,,,,Si,,,,Si,0.00,,,,$ 110.00,$ 28.00,,$ 27.69,No,,,,No,Si
LORATADINA/ BETAMETASONA 100MG-5MG/100ML SOLUCION,loratadina-betametasona-100mg-5mg-100ml-solucion,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009744129,,,,,,Si,250397,,01/01/2027,Si,1.00,,0.00,,$ 110.00,$ 26.00,,$ 25.09,No,,,,No,Si
LORATADINA/ BETAMETASONA 100MG-5MG/100ML SOLUCION,loratadina-betametasona-100mg-5mg-100ml-solucion,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009744129,,,,,,Si,253265,,01/06/2027,Si,1.00,,0.00,,$ 110.00,$ 26.00,,$ 25.09,No,,,,No,Si
LORATADINA 10MG TABLETA (20),loratadina-10mg-tabletas,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009742828,,,,,,Si,258303,,01/07/2027,Si,1.00,,0.00,,$ 75.00,$ 9.00,,$ 8.49,No,,,,No,Si
LORATADINA 10MG TABLETA (10),loratadina,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009740435,,,,,,Si,255958,,01/10/2027,Si,2.00,,0.00,,$ 65.00,$ 8.00,,$ 7.59,No,,,,No,Si
LORATADINA 100MG/100ML SOLUCION,loratadina-100mg-100ml-solucion_2,No,Si,BIOMEP,MEDICAMENTO,,Unidad,7501573902614,,,,,,Si,,,,Si,0.00,,,,$ 85.00,$ 15.00,,$ 14.39,No,,,,No,Si
LORATADINA 100MG/100ML SOLUCION,loratadina-100mg-100ml-solucion_3,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009740305,,,,,,Si,253261,,01/06/2027,Si,1.00,,0.00,,$ 85.00,$ 21.00,,$ 20.29,No,,,,No,Si
LORATADINA 100MG/100ML SOLUCION,loratadina-100mg-100ml-solucion_3,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009740305,,,,,,Si,242237,,01/04/2026,Si,0.00,,0.00,,$ 85.00,$ 21.00,,$ 20.29,No,,,,No,Si
LOPERAMIDA 2MG TABLETAS,loperamida-2mg-tabletas,No,Si,BRULUAGSA,MEDICAMENTO,BRULUAGSA,Unidad,7502208891549,,,,,,Si,5070928,,01/07/2027,Si,2.00,,0.00,,$ 55.00,$ 7.00,,$ 6.89,No,,,,No,Si
LIDOCAINA/NEOMICINA 2G-0.3350G/100ML GOTAS OTICAS,lidocaina-neomicina-2g-0-3350g-100ml-gotas-oticas,No,Si,COLLINS- (OTILIN),MEDICAMENTO,COLLIN´S,Unidad,780083140021,,,,,,Si,25141140,,01/05/2027,Si,1.00,,0.00,,$ 85.00,$ 29.00,,$ 28.17,No,,,,No,Si
"LIDOCAINA,HIDROCORTIZONA, OXIDO DE ZINC,SUBACETATO DE ALUMINIO 50MG-2.5MG-180MG-35MG UNGUENTO",lidocainahidrocortizona-oxido-de-zincsubacetato-de-aluminio-50mg-25mg-180mg-35mg-uguento,No,Si,SON´S,MEDICAMENTO,SON´S,Unidad,7502001160507,,,,,,Si,25061558,,01/06/2027,Si,2.00,,0.00,,$ 150.00,$ 59.00,,$ 58.89,No,,,,No,Si
LIDOCAINA/ HIDROCORTISONA 60MG/5MG SUPOSITORIO,lidocaina-hidrocortisona-60mg-5mg-supositorio,No,Si,SON'S,MEDICAMENTO,SON´S,Unidad,7502001164864,,,,,,Si,25082191,,01/08/2027,Si,2.00,,0.00,,$ 110.00,$ 34.00,,$ 33.99,No,,,,No,Si
LEVONOGESTREL/ ETINILESTRADIOL 0.15MG/0.03MG TABLETA,levonogestrel-etinilestradiol-0-15mg-0-03mg-tableta,No,Si,DIBA,MEDICAMENTO,QUIFA,Unidad,7501644707490,,,,,,Si,25F009,,01/05/2027,Si,1.00,,0.00,,$ 95.00,$ 24.00,,$ 23.59,No,,,,No,Si
LEVOFLOXACINO 750MG TABLETA,levofloxacino-750mg-tableta,No,Si,,ANTIBIOTICO,COLLIN´S,Unidad,780083146856,,,,,,Si,25140946,,01/03/2027,Si,0.00,,0.00,,$ 130.00,$ 34.00,,$ 33.49,No,,,,Si,Si
LEVOFLOXACINO 750MG TABLETA,levofloxacino-750mg-tableta_2,No,Si,,ANTIBIOTICO,BIOMEP,Unidad,7501573909309,,,,,,Si,SJ2526,,01/10/2027,Si,4.00,,0.00,,$ 130.00,$ 23.00,,$ 22.49,No,,,,Si,Si
LEVOFLOXACINO 500MG TABLETA,levofloxacino-500mg-tableta_2,No,Si,COLLIN'S,ANTIBIOTICO,COLLIN´S,Unidad,780083146863,,,,,,Si,25140230,,01/01/2027,Si,0.00,,0.00,,$ 120.00,$ 22.00,,$ 21.79,No,,,,Si,Si
LEVOFLOXACINO 500MG TABLETA,levofloxacino-500mg-tableta_3,No,Si,,ANTIBIOTICO,BIOMEP,Unidad,7501573909293,,,,,,Si,SJ2523,,01/10/2027,Si,5.00,,0.00,,$ 120.00,$ 17.00,,$ 16.59,No,,,,Si,Si
LEVODROPROPIZINA 600MG/100ML SOLUCION,levodropropizina-600mg-100ml-solucion,No,Si,RAYERE,MEDICAMENTO,RAYERE,Unidad,7502003388008,,,,,,Si,25047,,01/02/2027,Si,4.00,,0.00,,$ 105.00,$ 49.00,,$ 48.19,No,,,,No,Si
LEVODROPROPIZINA 600MG/100ML JARABE,levodropropizina-600mg-100ml-jarabe,No,Si,MAVI,MEDICAMENTO,MAVI,Unidad,785118754259,,,,,,Si,5G1207,,01/07/2027,Si,0.00,,0.00,,$ 105.00,$ 41.00,,$ 40.29,No,,,,No,Si
