Nombre del Producto,Identificador (No Cambiar),Es un Servicio,Se Vende,Descripción,Categoría,Marca,Unidad de Venta,Código de Barras,SKU,Variantes de Tamaño,Variantes de Color,Variantes de Material,Variantes de Estilo,Usa Lotes,Lote,Fabricación del Lote,Caducidad del Lote,Utiliza Stock,Stock Total ,Stock Mínimo ,Stock Apartado ,Ubicación ,Precio Público,Precio PERSONAL,Precio DESCUENTO PROMOCION,Costo,Impuestos,IVA,IEPS,Clave SAT,Receta Médica,Catálogo en Línea
TERBINAFINA 1% CREMA (30GR),terbinafina-1-crema_2,No,Si,LOEFFLER,MEDICAMENTO,LOEFFLER,Unidad,7502211783282,,,,,,Si,R2510377,,01/11/2027,Si,1.00,,0.00,,$ 90.00,$ 31.00,,$ 30.29,No,,,,No,Si
TERBINAFINA 1% CREMA (15GR),terbinafina-1-crema,No,Si,RUSSEK,MEDICAMENTO,LOEFFLER,Unidad,7502211783275,,,,,,Si,R2508134,,01/08/2027,Si,1.00,,0.00,,$ 85.00,$ 23.00,,$ 22.39,No,,,,No,Si
TERBINAFINA 1% CREMA (15GR),terbinafina-1-crema,No,Si,RUSSEK,MEDICAMENTO,LOEFFLER,Unidad,7502211783275,,,,,,Si,R2508135,,01/08/2027,Si,0.00,,0.00,,$ 85.00,$ 23.00,,$ 22.39,No,,,,No,Si
TERBINAFINA 1% CREMA (15GR),terbinafina-1-crema-15gr,No,Si,,MEDICAMENTO,SON´S,Unidad,7502001165380,,,,,,Si,25061554,,01/06/2027,Si,0.00,,0.00,,$ 85.00,$ 15.00,,$ 14.49,No,,,,No,Si
TELMISARTAN/ HIDROCLOROTIAZIDA 80MG-12.5MG TABLETAS,telmisartan-hidroclorotiazida-80mg-12-5mg-tabletas,No,Si,AVIVIA,MEDICAMENTO,,Unidad,7502216807372,,,,,,Si,,,,Si,0.00,,,,$ 135.00,$ 57.00,,$ 56.20,No,,,,No,Si
TELMISARTAN HIDROCLOROTIAZIDA 80MG/12.5 MG TABLETA (14),telmisartan-hidroclorotiazida-80mg125-mg-tableta-14,No,Si,,MEDICAMENTO,ULTRA,Unidad,7502216803244,,,,,,Si,4MM096A,,01/12/2026,Si,0.00,,0.00,,$ 135.00,$ 44.00,,$ 43.99,No,,,,No,Si
TELMISARTAN/ HIDROCLOROTIAZIDA 80MG/12.5MG TABLETA,telmisartan-hidroclorotiazida-80mg-12-5mg-tableta,No,Si,ULTRA,MEDICAMENTO,ULTRA,Unidad,7502216809864,,,,,,Si,,,,Si,0.00,,,,$ 135.00,$ 58.00,,$ 57.50,No,,,,No,Si
"TELMISARTAN, HIDROCLOROTIAZIDA 80MG/12.5MG TABLETA",telmisartan-hidroclorotiazida-80mg125mg-tableta,No,Si,TABLETA ,MEDICAMENTO,AMSA,Unidad,7501349029729,,,,,,Si,U25SD043,,01/09/2027,Si,3.00,,0.00,,$ 135.00,$ 44.00,,$ 43.69,No,,,,No,Si
TELMISARTAN/HIDROCLOROTIAZIDA 80mg-12.5 mg TABLETA,telmisartan-hidroclorotiazida-tableta-80-mg125-mg,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009746376,,,,,,Si,253816,,01/03/2027,Si,0.00,,0.00,,$ 135.00,$ 58.00,,$ 57.89,No,,,,No,Si
TELMISARTAN 80 MG TABLETAS (28),telmisartan-80-mg-tabletas-28,No,Si,AMSA,MEDICAMENTO,AMSA,Unidad,7501349025806,,,,,,Si,U24A421,,01/04/2026,Si,0.00,,0.00,,$ 180.00,$ 84.00,,$ 83.25,No,,,,No,Si
TELMISARTAN 80MG TABLETA ,telmisartan-80mg-tableta,No,Si,NOVAG- (CON 14 TABLETA),MEDICAMENTO,,Unidad,7501075721256,,,,,,Si,,,,Si,0.00,,,,$ 180.00,$ 41.00,,$ 40.43,No,,,,No,Si
TELMISARTAN 80MG TABLETA,telmisartan-80mg-tableta_2,No,Si,NOVAG- (CON 28 TABLETA),MEDICAMENTO,NOVAG,Unidad,7501075721164,,,,,,Si,870105,,01/04/2027,Si,1.00,,0.00,,$ 180.00,$ 66.00,,$ 65.49,No,,,,No,Si
TELMISARTAN 40MG TABLETA ,telmisartan-40mg-tableta,No,Si,NOVAG,MEDICAMENTO,,Unidad,7501075721249,,,,,,Si,,,,Si,0.00,,,,$ 140.00,$ 54.00,,$ 53.79,No,,,,No,Si
TAMSULOSINA 0.4MG CAPSULA,tamsulosina-0-4mg-capsula,No,Si,AVIVIA,MEDICAMENTO,AVIVIA,Unidad,7502209852068,,,,,,Si,,,,Si,0.00,,,,$ 150.00,$ 46.00,,$ 45.19,No,,,,No,Si
TAMSULOSINA 0.4MG CAPSULA,tamsulosina-04mg-capsulas,No,Si,,MEDICAMENTO,NOVAG,Unidad,7501075718119,,,,,,Si,030505,,01/06/2027,Si,2.00,,0.00,,$ 150.00,$ 39.00,,$ 38.49,No,,,,No,Si
TAMSULOSINA 0.4MG CAPSULA,7503049078458,No,Si,,MEDICAMENTO,AVIVIA,Unidad,7503049078458,,,,,,Si,,,,Si,0.00,,,,$ 150.00,$ 39.00,,$ 38.65,Si,16%,No aplica,,No,Si
TAMSULOSINA 0.4MG CAPSULA,tamsulosina-04mg-capsula,No,Si,,MEDICAMENTO,RAAM,Unidad,7502227872192,,,,,,Si,RFD488,,01/05/2027,Si,0.00,,0.00,,$ 150.00,$ 42.00,,$ 41.39,No,,,,No,Si
TAMARINDO/ CIRUELA/ FIBRA NATURALES 450MG CAPSULA,tamarindo-ciruela-fibra-naturales-450mg-capsula,No,Si,FARMIRAL,MEDICAMENTO,,Unidad,7503181041488,,,,,,Si,,,,Si,0.00,,,,$ 115.00,$ 48.00,,$ 47.42,No,,,,No,Si
SUTURA NYLON 2-0,sutura,No,Si,,MATERIAL DE CURACION,,Unidad,,,,,,,No,,,,Si,10.00,0.00,,,$ 70.00,$ 50.00,,$ 50.00,No,,,,No,Si
SULFADIAZINA DE PLATA 1% CREMA ,sulfadiazina-de-plata-1-crema,No,Si,LIFERPAL,MEDICAMENTO,,Unidad,7501836000828,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 34.00,,$ 33.69,No,,,,No,Si
SUCRALFATO 1G TABLETA ,sucralfato-1g-tableta,No,Si,SUANCA,MEDICAMENTO,,Unidad,7503002772508,,,,,,Si,,,,Si,0.00,,,,$ 120.00,$ 61.00,,$ 60.15,No,,,,No,Si
SUCRALFATO 1G TABLETA ,sucralfato-1g-tableta_2,No,Si,,MEDICAMENTO,ULTRA,Unidad,7502216793439,,,,,,Si,5FM395A,,01/06/2027,Si,1.00,,0.00,,$ 120.00,$ 49.00,,$ 48.89,No,,,,No,Si
SONDA FOLEY,sonda-foley,No,Si,,MATERIAL DE CURACION,,Unidad,,,,,,,No,,,,Si,0.00,0.00,,,$ 135.00,$ 80.00,,$ 79.00,No,,,,No,Si
SOLUCION MIXTA 1000mL,solucion-mixta-1000ml,No,Si,PISA,MEDICAMENTO,,Unidad,,,,,,,No,,,,Si,0.00,0.00,,,$ 80.00,$ 34.00,,$ 33.46,No,,,,No,Si
SITAGLIPTINA 100MG TABLETA (28),sitagliptina-100mg-tableta,No,Si,,MEDICAMENTO,LIOMONT,Unidad,7501299310991,,,,,,Si,K03025,,01/03/2027,Si,0.00,,0.00,,$ 780.00,$ 630.00,,$ 630.00,No,,,,No,Si
SITAGLIPTINA 100MG COMPRIMIDO (28),sitagliptina,No,Si,,MEDICAMENTO,MEXAR PHARMA,Unidad,7503053829015,,,,,,Si,LC90949,,01/03/2027,Si,0.00,,0.00,,$ 580.00,$ 129.00,,$ 128.19,No,,,,No,Si
SITAGLIPTINA 100MG COMPRIMIDO (14),sitagliptina-100mg-comprimido,No,Si,,MEDICAMENTO,MEXAR PHARMA,Unidad,7503053829008,,,,,,Si,LC91597,,01/04/2027,Si,0.00,,0.00,,$ 320.00,$ 80.00,,$ 80.00,No,,,,No,Si
SILYBUM MARIANUM 150MG COMPRIMIDOS,silybum-marianum-150mg-comprimidos,No,Si,BIOFARMA NATURA,MEDICAMENTO,BIOFARMA,Unidad,7501590241093,,,,,,Si,25G04524,,01/09/2027,Si,1.00,,0.00,,$ 205.00,$ 75.00,,$ 74.69,No,,,,No,Si
SILYBUM MARIANUM 150mg CAPSULAS (20),silybum-marianum-150mg-capsulas-20,No,Si,GELPHARMA,MEDICAMENTO,,Unidad,7502227426838,,,,,,Si,,,,Si,0.00,,,,$ 205.00,$ 69.00,,$ 68.95,No,,,,No,Si
SILYBUM MARIANUM 120MG CAPSULA,silybum-marianum-120mg-capsula,No,Si,AF OPERADORA DE NEGOCIOS,MEDICAMENTO,,Unidad,714908106329,,,,,,Si,,,,Si,0.00,,,,$ 205.00,$ 78.00,,$ 77.39,No,,,,No,Si
SERTRALINA 50MG TABLETA,sertralina-50mg-tableta,No,Si,BIORESEARCH,MEDICAMENTO,BIORESEARCH,Unidad,7501563380255,,,,,,Si,,,,Si,0.00,,,,$ 120.00,$ 22.00,,$ 21.09,No,,,,No,Si
SENOSIDOS A-B 8.6MG TABLETA,senosidos-a-b-8-6mg-tableta,No,Si,KENER,MEDICAMENTO,,Unidad,7501493860353,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 9.00,,$ 8.79,No,,,,No,Si
SENOSIDOS A-B 8.6MG TABLETA,senosidos-a-b-tableta,No,Si,SCHOEN,MEDICAMENTO,SCHOEN,Unidad,821998000595,,,,,,Si,061025,,01/02/2027,Si,2.00,,0.00,,$ 95.00,$ 8.00,,$ 7.69,No,,,,No,Si
SALBUTAMOL AEROSOL 100UG,salbutamol-aerosol-100ug,No,Si,BIOSYNTEC,MEDICAMENTO,BIOSYNTEC,Unidad,7506022327635,,,,,,Si,2423682,,01/08/2026,Si,0.00,,0.00,,$ 115.00,$ 50.00,,$ 0.00,No,,,,No,Si
SALBUTAMOL 100μg AEROSOL,salbutamol-100-g-aerosol,No,Si,FARMACEUTICA HISPANOAMERICANA,MEDICAMENTO,,Unidad,7502213042738,,,,,,Si,,,,Si,0.00,,,,$ 115.00,$ 46.00,,$ 45.09,No,,,,No,Si
RETINOL/ ERGOCALCIFEROL SOLUCION INYECTABLE,retinol-ergocalciferol-solucion-inyectable,No,Si,SON'S,MEDICAMENTO,,Unidad,7502001165489,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 30.00,,$ 29.40,No,,,,No,Si
RACECADOTRILO 10MG GRANULADO SOBRES,racecadotrilo-10mg-granulado-sobres,No,Si,HIDRASEC,MEDICAMENTO,MAVER,Unidad,7502009749407,,,,,,Si,243733,,01/06/2026,Si,0.00,,0.00,,$ 250.00,$ 47.00,$ 175.00,$ 46.39,No,,,,No,Si
QUINFAMIDA/ ALBENDAZOL 150MG/200MG TABLETA,quinfamida-albendazol-150mg-200mg-tableta,No,Si,FARMACO CONTINENTALES,MEDICAMENTO,F CONTINENTALES,Unidad,7502006920038,,,,,,Si,ITC25S030,,01/03/2027,Si,2.00,,0.00,,$ 90.00,$ 22.00,,$ 21.29,No,,,,No,Si
QUINFAMIDA/ ALBENDAZOL 150MG/200MG TABLETA,quinfamida-albendazol-150mg-200mg-tableta,No,Si,FARMACO CONTINENTALES,MEDICAMENTO,F CONTINENTALES,Unidad,7502006920038,,,,,,Si,ITL24S161,,01/12/2026,Si,1.00,,0.00,,$ 90.00,$ 22.00,,$ 21.29,No,,,,No,Si
PROVIOBER 1G POLVO,proviober-1g-polvo,No,Si,NATUREX,MEDICAMENTO,NATUREX,Unidad,7502259891444,,,,,,Si,244538,,01/07/2026,Si,0.00,,0.00,,$ 120.00,$ 53.00,,$ 52.70,No,,,,No,Si
PROPANOLOL 40MG TABLETA,propanolol-40mg-tableta,No,Si,SERRAL,MEDICAMENTO,,Unidad,7501258203395,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 20.00,,$ 19.27,No,,,,No,Si
PREGABALINA 75MG CAPSULA (28),pregabalina-75mg-capsula_2,No,Si,AMSA,MEDICAMENTO,AMSA,Unidad,7501349025943,,,,,,Si,,,,Si,0.00,,,,$ 250.00,$ 58.00,,$ 57.69,No,,,,No,Si
PREGABALINA 75MG CAPSULA (28),pregabalina-caps-75-mg-aniernov,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075721072,,,,,,Si,A40554,,01/09/2026,Si,0.00,,0.00,,$ 250.00,$ 41.00,,$ 40.89,No,,,,No,Si
PREGABALINA 75MG CAPSULA (28),pregabalina-75mg-28-capsulas,No,Si,,MEDICAMENTO,,Unidad,7502216799813,,,,,,Si,,,,Si,0.00,,,,$ 250.00,$ 68.00,,$ 68.39,No,,,,No,Si
PREGABALINA 75MG CAPSULA (14),pregabalina-75mg-capsula_4,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075721096,,,,,,Si,A40155,,01/05/2027,Si,2.00,,0.00,,$ 125.00,$ 26.00,,$ 25.49,No,,,,No,Si
PREGABALINA 75MG CAPSULA (14),pregabalina-75mg-capsula_4,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075721096,,,,,,Si,A40075,,01/02/2027,Si,0.00,,0.00,,$ 125.00,$ 26.00,,$ 25.49,No,,,,No,Si
PREGABALINA 75 MG CAPSULA (14),pregabalina-75-mg-capsula,No,Si,MAVE,MEDICAMENTO,,Unidad,7502009748400,,,,,,Si,,,,Si,0.00,,,,$ 125.00,$ 28.00,,$ 27.29,No,,,,No,Si
PREGABALINA 75MG CAPSULA,pregabalina-75mg-capsula,No,Si,AMSA,MEDICAMENTO,,Unidad,7501349025967,,,,,,Si,,,,Si,0.00,,,,$ 125.00,$ 39.00,,$ 38.19,No,,,,No,Si
PREGABALINA 75MG CAPSULA,pregabalina-75mg-capsula_3,No,Si,MAVER,MEDICAMENTO,,Unidad,7502009745362,,,,,,Si,,,,Si,0.00,,,,$ 125.00,$ 44.00,,$ 43.49,No,,,,No,Si
PREGABALINA 75MG CAPSULA,pregabalina-75mg-capsula_5,No,Si,AVIVIA,MEDICAMENTO,,Unidad,7502216805057,,,,,,Si,,,,Si,0.00,,,,$ 125.00,$ 37.00,,$ 36.69,No,,,,No,Si
PREDNISONA 50MG TABLETA,prednisona-50mg-tableta,No,Si,RAAM,MEDICAMENTO,RAAM,Unidad,7502227876145,,,,,,Si,RDN092,,01/03/2027,Si,3.00,,0.00,,$ 110.00,$ 51.00,,$ 50.09,No,,,,No,Si
PREDNISONA 50MG TABLETA,prednisona-50mg-tableta_2,No,Si,BRULUART,MEDICAMENTO,,Unidad,7501537102395,,,,,,Si,,,,Si,0.00,,,,$ 110.00,$ 47.00,,$ 46.08,No,,,,No,Si
PREDNISONA 5.0MG TABLETA,prednisona-50mg-tableta_3,No,Si,,MEDICAMENTO,RAAM,Unidad,7502227876107,,,,,,Si,RDN102,,01/08/2027,Si,3.00,,0.00,,$ 75.00,$ 12.00,,$ 11.59,No,,,,No,Si
PRAVASTATINA 20MG TABLETA,pravastatina-20mg-tableta,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009741722,,,,,,Si,252167,,01/04/2027,Si,2.00,,0.00,,$ 125.00,$ 44.00,,$ 40.29,No,,,,No,Si
PRAVASTATINA 20MG TABLETA,pravastatina-20mg-tableta_2,No,Si,KENER,MEDICAMENTO,,Unidad,7501493866744,,,,,,Si,,,,Si,0.00,,,,$ 125.00,$ 45.00,,$ 44.19,No,,,,No,Si
PLANTAGO PSYLLIUM POLVO (SABOR),plantago-psyllium-sabor,No,Si,COLLINS,MEDICAMENTO,,Unidad,780083140441,,,,,,Si,,,,Si,0.00,,,,$ 245.00,$ 87.00,,$ 86.09,No,,,,No,Si
PLANTAGO PSYLLIUM POLVO (NATURAL),plantagopsyllium-polvo,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075713770,,,,,,Si,5011805,,01/10/2029,Si,1.00,,0.00,,$ 245.00,$ 95.00,,$ 94.40,No,,,,No,Si
PLANTAGO PSYLLIUM  35G POLVO  (SABOR),plantago-psyllium,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075718676,,,,,,Si,491495,,01/06/2029,Si,0.00,,0.00,,$ 245.00,$ 104.00,,$ 103.89,No,,,,No,Si
PIROXICAM 20MG TABLETA,piroxicam-20mg-tableta,No,Si,,MEDICAMENTO,BIOMEP,Unidad,7501573900498,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 8.00,,$ 7.49,No,,,,No,Si
PIROXICAM 20MG TABLETA,piroxicam-tab-20mg,No,Si,,MEDICAMENTO,AVIVIA,Unidad,7502216805019,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 10.00,,$ 9.79,No,,,,No,Si
