,Tarifa: Conv Empresa A,,,
,,,,
Tipo,Código,Abreviatura,Descripción,Importe
Perfiles,1481,TFGSUE,TASA DE FILTRADO GLOMERULAR EN SUERO,335
Perfiles,31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,430
Perfiles,564,TP,TIEMPO DE PROTROMBINA,155
Perfiles,VIHPV4CG,VIHPV4CG,VHI Cuarta generaciÃ³n,390
Perfiles,11102022,CHINKUN,VIRUS CHINKUNGUYA,875
Perfiles,11102022,ZIKA,VIRUS ZIKA,2365
Perfiles,4424-OTH,VPH HR14 GENOTIPOS,VPH HR14 GENOTIPOS DE ALTO RIESGO,2850
Perfiles,23131313131,WESTERNBLOT,WESTERN BLOT,3025
Pruebas,Desaturac,Desaturac,% De saturaciÃ³n,0
Pruebas,3493,DESOXI,11- Desoxicortisol,0
Pruebas,416,416,17 ALFA HIDROXI-PROGESTERONA (17aOHP4),435
Pruebas,417,17aOHP4NEO,17 ALFA HIDROXI-PROGESTERONA NEONATAL (17aOHP4NEO),0
Pruebas,1,17OHP,17 Alfa hidroxiprogesterona,470
Pruebas,4372,17hidroxip,17 hidroxipregenenolona,0
Pruebas,1788,hidroi,17 HIDROXIPROGESTERONA NEONATAL,0
Pruebas,185,ACANTI,AC. ANTI AMEBA IgG (SERAMEBA),0
Pruebas,ANTICAR,ANTICARDIO,AC. ANTI CARDIOLIPINA IgG,0
Pruebas,ANTICARD,ANTICARDI,AC. ANTI CARDIOLIPINA IgM,0
Pruebas,636,Chikungun,Ac. Anti Chikungunya IgG,810
Pruebas,CHIKU,CHIKU,Ac. Anti Chikungunya IgM,840
Pruebas,217,ChlamIgG,Ac. Anti Chlamydia trachomatis IgG,0
Pruebas,297,DNA,AC. ANTI DNA*,615
Pruebas,2323,AcAntiEndomesiales,Ac. Anti Endomesiales,740
Pruebas,PERF,FOSFIgG,AC. ANTI FOSFOLÃPIDOS IgG,0
Pruebas,PERF-2339,FOSFIgM,AC. ANTI FOSFOLÃPIDOS IgM,0
Pruebas,2162,AcAntiGliIgAIgG,Ac. Anti Gliadinas IgA IgG,1010
Pruebas,350,HPYLORIIgG,AC. ANTI HELICOBACTER PYLORI IgG,555
Pruebas,PIM4128HEP,PIM4128HEP,AC. ANTI HERPES II IgG,0
Pruebas,258,AcAntiHrpsIIIgGIgM,"Ac. ANTI HERPES II IgG, IgM",630
Pruebas,PIM4128HERP,PIM4128HERP,AC. ANTI HERPES II IgM,0
Pruebas,1794,ANTIJO,AC. ANTI JO-1 (POLIMIOSITIS),615
Pruebas,602,ANTITUBERCULOSIS,AC. ANTI MYCOBACTERIUM TUBERCULOSIS,0
Pruebas,2130,ANAIFI,AC. ANTI NUCLEARES POR INMUNOFLUORESCENCIA (ANA IFI),615
Pruebas,2102,CCP,AC. ANTI PEPTIDO CICLICO CITRULINADO (CCP),1020
Pruebas,2319,AcAntiRecTSH,Ac. Anti Receptor TSH,1435
Pruebas,585,SSA,AC. ANTI SSA,555
Pruebas,TIRO,TRIO,AC. ANTI TIROGLOBULINA TOTAL,705
Pruebas,599,ACANTIRO,AC. ANTI TIROGLOBULINA TOTALES,705
Pruebas,601-ORTH,TPO,AC. ANTI TIROPEROXIDASA (TPO),1135
Pruebas,2159,AcAntisTranstisIgAIgG,"Ac. Anti Transglutaminasa tisular IgA, IgG",1500
Pruebas,425,ACANMICROSOMALESTOT,AC. ANTI. MICROSOMALES TOTALES,0
Pruebas,595,SSB,ac.anti SSB,430
Pruebas,ACI ASPA B,ACIASPA,ACIDO ASPARGICO,0
Pruebas,801,ACFOL,ACIDO FOLICO,0
Pruebas,ACI GLUTA B,ACIGLUTA,ACIDO GLUTAMICO,0
Pruebas,AURIC,AURIC,ACIDO URICO,80
Pruebas,sdc,gs,ÃCIDO ÃšRICO URINARIO,80
Pruebas,6554,ACU24,ACIDO URICO URINARIO 24 HR,0
Pruebas,77,aCIDOVALPROICO,ÃCIDO VALPROICO (DEPAKENE) (ATEMPERATOR),0
Pruebas,3334,ADENOVIRUS,ADENOVIRUS HUMANO,0
Pruebas,2,adre,Adrenalina en plasma,1110
Pruebas,46416631,ARGNN,AGININA,0
Pruebas,ALANI B,ALANI,ALANINA,0
Pruebas,ALANINA,ALANINA,ALANINA,0
Pruebas,24,alb,ALBUMINA,85
Pruebas,1722-OPP,ALB24O,ALBÃšMINA EN  ORINA DE 24 HRS.,0
Pruebas,1722-PP,MICROAL,ALBÃšMINA URINARIA,0
Pruebas,59,ahl,Alcohol etÃ­lico en suero,390
Pruebas,70,Aldolasa,Aldolasa,355
Pruebas,81,Ald,Aldosterona en suero,990
Pruebas,148,AIE,AlÃ©rgeno individual especial,0
Pruebas,1006,Alfaantitripsina,Alfa - 1 antitripsina,0
Pruebas,97,ALFA1ANTITRIPSINA,ALFA 1 ANTITRIPSINA,1035
Pruebas,105-ORT,AFP,ALFAFETOPROTEINA,455
Pruebas,8,ALTFEL,ALT FELINO,0
Pruebas,100,ALUMINIOENSUERO,ALUMINIO EN SUERO,1295
Pruebas,AEF,AEF,AMIBA EN FRESCO,145
Pruebas,ami,ami,AMILASA,245
Pruebas,151,AM,AMONIO,245
Pruebas,163-OR,ANDFEM,ANDROSTENEDIONA,495
Pruebas,163-MASC-OTH,ANDROS,ANDROSTENEDIONA,0
